count,season,year,workingday,weather,temp,humidity,windspeed
985,Winter,one,0,Rain,6.715022,0.805833,17.30021509788
801,Winter,one,0,Rain,7.989548,0.696087,26.79891153542
1349,Winter,one,1,Dry,-3.039976,0.437273,26.77411160602
1562,Winter,one,1,Dry,-2.8,0.590435,17.28404123088
1600,Winter,one,1,Dry,-1.020838,0.436957,20.152638282
1606,Winter,one,1,Dry,-2.513032,0.518261,9.657437550856
1510,Winter,one,1,Rain,-3.029548,0.498696,18.19301255628
959,Winter,one,0,Rain,-5.11,0.535833,28.76834940712
822,Winter,one,0,Dry,-6.870022,0.434167,39.027541071
1321,Winter,one,1,Dry,-6.045022,0.482917,24.07393842326
1263,Winter,one,1,Rain,-4.839994,0.686364,13.16897816296
1162,Winter,one,1,Dry,-4.600018,0.599545,32.84664388406
1406,Winter,one,1,Dry,-5.11,0.470417,32.45555978
1421,Winter,one,1,Dry,-5.38258,0.537826,13.64513680744
1248,Winter,one,0,Rain,-0.600021999999999,0.49875,17.03248368614
1204,Winter,one,0,Dry,-0.709978,0.48375,20.31793520274
1000,Winter,one,0,Rain,-4.395022,0.5375,20.92003435826
683,Winter,one,1,Rain,-1.699978,0.861667,15.8261288595
1650,Winter,one,1,Rain,3.283484,0.741739,22.46194301226
1927,Winter,one,1,Rain,1.270022,0.538333,21.12350160512
1543,Winter,one,1,Dry,-4.285,0.457083,38.08859417876
981,Winter,one,0,Dry,-12.0973936,0.4,18.5427993866
986,Winter,one,0,Dry,-9.6295678,0.436522,26.589837348
1416,Winter,one,1,Dry,-9.5721742,0.491739,17.0720557474
1985,Winter,one,1,Rain,-1.250452,0.616957,13.99535494088
506,Winter,one,1,Snow,-1.645,0.8625,31.684605453
431,Winter,one,1,Dry,-3.13,0.6875,12.27456331786
1167,Winter,one,1,Rain,-2.570452,0.793043,13.294918674
1098,Winter,one,0,Dry,-3.029548,0.651739,15.6740945097
1096,Winter,one,0,Dry,-1.709548,0.722174,7.977231551428
1501,Winter,one,1,Rain,-4.065022,0.60375,20.18412340976
1360,Winter,one,1,Rain,-3.316516,0.829565,5.73773323114
1526,Winter,one,1,Rain,1.16,0.775417,28.49921626024
1550,Winter,one,1,Dry,-3.660838,0.437826,29.94882604656
1708,Winter,one,1,Rain,-2.053936,0.585217,13.78433988942
1005,Winter,one,0,Rain,-0.600021999999999,0.929167,17.36846881662
1623,Winter,one,0,Dry,2.864978,0.568333,15.289695604
1712,Winter,one,1,Dry,1.930022,0.738333,4.896185365974
1530,Winter,one,1,Dry,-1.425022,0.537917,39.027541071
1605,Winter,one,1,Rain,-7.104322,0.494783,20.36171246942
1538,Winter,one,1,Dry,-6.473032,0.437391,23.9303144843
1746,Winter,one,1,Dry,-3.519994,0.506364,11.704488419
1472,Winter,one,0,Dry,-1.315,0.544167,21.92820540126
1589,Winter,one,0,Dry,4.890452,0.457391,28.12991296374
1913,Winter,one,1,Dry,11.39,0.375833,45.06125606824
1815,Winter,one,1,Dry,1.561742,0.314348,31.41762882172
2115,Winter,one,1,Dry,5.005226,0.423478,27.14956097198
2475,Winter,one,1,Dry,12.764978,0.505,24.81114328112
2927,Winter,one,1,Dry,18.430022,0.516667,28.5657447665
1635,Winter,one,0,Dry,10.345022,0.187917,54.71759379614
1812,Winter,one,0,Dry,2.824322,0.407826,24.0704879983
1107,Winter,one,0,Rain,4.019978,0.605,33.19373506988
1450,Winter,one,1,Dry,-3.973348,0.577778,21.09967210774
1917,Winter,one,1,Dry,-1.365226,0.423043,10.14780763314
1807,Winter,one,1,Rain,3.513032,0.697391,27.00992658688
1461,Winter,one,1,Rain,8.046968,0.712174,37.36583797542
1969,Winter,one,0,Dry,2.645,0.537917,20.11716360038
2402,Winter,one,0,Dry,6.669548,0.68,13.50496329344
1446,Winter,one,1,Rain,10.880018,0.876364,31.23561890508
1851,Winter,one,1,Dry,1.600022,0.535,23.3361944365
2134,Winter,one,1,Dry,6.11,0.449583,33.19233333474
1685,Winter,one,1,Dry,-2.910022,0.318333,24.34210113812
1944,Winter,one,1,Rain,1.270022,0.610417,21.92594105988
2077,Winter,one,0,Rain,9.355022,0.789167,27.15818703438
605,Winter,one,0,Rain,8.850452,0.948261,37.01518853886
1872,Winter,one,1,Dry,1.274774,0.551304,36.80654565456
2133,Winter,one,1,Dry,3.305,0.420833,13.009180357
1891,Winter,one,1,Rain,3.524978,0.775417,23.737845467
623,Winter,one,1,Snow,9.680006,0,28.23709178906
1977,Winter,one,1,Rain,4.890452,0.649565,25.1201719666
2132,Winter,one,0,Dry,5.725022,0.594583,23.8052365795
2417,Winter,one,0,Dry,9.366968,0.527391,29.17808737112
2046,Winter,one,1,Dry,5.464322,0.496957,14.76415275228
2056,Winter,one,1,Rain,4.947806,0.655652,19.87326168602
2192,Winter,one,1,Rain,8.104322,0.776522,21.90124895626
2744,Winter,one,1,Dry,11.39,0.602917,22.59801914662
3239,Winter,one,1,Dry,19.64,0.525217,24.90958821826
3117,Winter,one,0,Dry,15.185,0.379167,39.69789394526
2471,Winter,one,0,Dry,5.945,0.47375,22.39767884738
2077,Spring,one,1,Rain,12.40871,0.737391,31.13825222574
2703,Spring,one,1,Dry,13.150022,0.624583,24.341669835
2121,Spring,one,1,Rain,6.899162,0.839565,25.25937504858
1865,Spring,one,1,Rain,2.81,0.805833,26.28652342886
2210,Spring,one,1,Dry,1.435022,0.495,24.8781030905
2496,Spring,one,0,Dry,1.544978,0.394167,22.59715654038
1693,Spring,one,0,Rain,0.700838000000001,0.493913,19.872291254
2028,Spring,one,1,Dry,1.446968,0.302174,22.88106181912
2425,Spring,one,1,Dry,3.965,0.314167,24.47602075688
1536,Spring,one,1,Rain,3.8,0.646667,18.64178345264
1685,Spring,one,1,Snow,1.709978,0.918333,23.46784971388
2227,Spring,one,1,Rain,3.8,0.68625,27.89539189224
2252,Spring,one,0,Rain,4.79,0.65375,21.25742122388
3249,Spring,one,0,Dry,8.969978,0.48,19.64725885114
3115,Spring,one,1,Dry,21.839978,0.42625,41.57449382038
1795,Spring,one,1,Rain,11.335022,0.642083,41.84362696726
2808,Spring,one,1,Dry,9.794978,0.470833,28.36497316414
3141,Spring,one,1,Dry,12.875,0.602917,17.50141800336
1471,Spring,one,1,Rain,6.164978,0.83625,24.47558945376
2455,Spring,one,0,Rain,6.605,0.8775,14.34977827974
2895,Spring,one,0,Rain,12.160022,0.8575,15.82526625326
3348,Spring,one,1,Rain,23.313032,0.716956,34.98666213972
2034,Spring,one,1,Rain,17.165,0.739167,29.63904258062
2162,Spring,one,1,Rain,11.225,0.819167,27.02297350626
3267,Spring,one,1,Dry,14.855,0.540417,11.936313846
3126,Spring,one,0,Dry,13.480022,0.67125,24.4090609475
795,Spring,one,0,Snow,12.434978,0.888333,36.74788843024
3744,Spring,one,0,Dry,14.140022,0.479583,32.72469292688
3429,Spring,one,1,Dry,17.825,0.5425,17.63673935726
3204,Spring,one,1,Rain,17.384978,0.665833,17.03334629238
3944,Spring,one,1,Dry,23.27,0.614167,26.0857518265
4189,Spring,one,1,Dry,14.305022,0.407083,35.07119755124
1683,Spring,one,1,Rain,6.220022,0.729583,23.67002305138
4036,Spring,one,0,Rain,14.36,0.887917,24.8781030905
4191,Spring,one,0,Rain,22.390022,0.810833,20.7214192715
4073,Spring,one,1,Dry,24.040022,0.776667,19.98367528474
4400,Spring,one,1,Dry,25.690022,0.729167,35.20511717
3872,Spring,one,1,Rain,24.92,0.835417,33.663208516
4058,Spring,one,1,Rain,24.755,0.700833,34.60215540824
4595,Spring,one,1,Dry,17.66,0.457083,25.88498022414
5312,Spring,one,0,Dry,15.185,0.503333,25.3471452335
3351,Spring,one,0,Rain,13.810022,0.762083,11.46770300612
4401,Spring,one,1,Rain,20.245022,0.73,19.78107064412
4451,Spring,one,1,Rain,24.700022,0.697083,36.94833655526
2633,Spring,one,1,Rain,11.335022,0.737083,35.47425031688
4433,Spring,one,1,Dry,14.305022,0.444167,31.85087280576
4608,Spring,one,1,Dry,15.625022,0.59,24.61080298188
4714,Spring,one,0,Dry,18.32,0.54125,17.300646401
4333,Spring,one,0,Dry,18.869978,0.631667,8.04784665475
4362,Spring,one,1,Dry,19.145,0.58875,18.97733728
4803,Spring,one,1,Dry,19.145,0.489167,12.47231579838
4182,Spring,one,1,Dry,19.805,0.632917,13.00831775076
4864,Spring,one,1,Dry,19.31,0.7475,20.45099221526
4105,Spring,one,1,Rain,17.825,0.863333,19.3789883105
3409,Spring,one,0,Rain,18.374978,0.9225,14.551089011
4553,Spring,one,0,Rain,21.125,0.867083,16.49507999862
3958,Spring,one,1,Dry,22.115,0.787917,13.67996453438
4123,Spring,one,1,Rain,21.070022,0.837917,29.90591138612
3855,Spring,one,1,Rain,20.3,0.87,21.72603206376
4575,Spring,one,1,Rain,19.034978,0.829583,11.66815113114
4917,Spring,one,1,Dry,19.420022,0.719583,13.47962423514
5805,Spring,one,0,Dry,23.765,0.626667,13.009180357
4660,Spring,one,0,Dry,23.875022,0.749583,15.95907804624
4274,Spring,one,1,Rain,25.690022,0.81,25.21419604676
4492,Spring,one,1,Rain,27.56,0.740833,22.32985643176
4978,Spring,one,1,Dry,27.614978,0.69625,16.63029352674
4677,Spring,one,1,Dry,30.749978,0.6775,21.52655437076
4679,Spring,one,1,Dry,28.990022,0.65375,25.95140090462
4758,Spring,one,0,Dry,27.284978,0.729583,24.80984937176
4788,Spring,one,0,Dry,28.055,0.81875,23.06803172164
4098,Spring,one,0,Dry,32.399978,0.685,14.1494379805
3982,Spring,one,1,Dry,35.15,0.636667,12.00413626162
3974,Spring,one,1,Rain,34.435022,0.677083,22.32985643176
4968,Spring,one,1,Dry,31.19,0.305,31.51607375886
5312,Spring,one,1,Dry,24.92,0.354167,27.29296925938
5342,Spring,one,0,Dry,25.91,0.45625,13.27788220076
4906,Spring,one,0,Rain,26.789978,0.6525,14.95457307976
4548,Spring,one,1,Dry,28.769978,0.6,13.14353127888
4833,Spring,one,1,Dry,30.695,0.597917,20.25054409024
4401,Spring,one,1,Dry,35.204978,0.622083,14.75239974226
3915,Spring,one,1,Rain,37.349978,0.568333,16.16125138374
4586,Spring,one,1,Dry,33.83,0.605,15.15534468212
4966,Spring,one,0,Dry,31.85,0.654583,16.696822033
4460,Spring,one,0,Dry,29.705,0.747917,17.63673935726
5020,Spring,one,1,Dry,25.91,0.494583,32.924601923
4891,Spring,one,1,Dry,23.875022,0.507083,29.03564951574
5180,Spring,one,1,Dry,25.360022,0.471667,18.10524237136
3767,Spring,one,1,Rain,25.469978,0.688333,22.26289662238
4844,Spring,one,1,Dry,26.845022,0.735833,15.42221348762
5119,Spring,one,0,Dry,29.980022,0.670417,12.87526073824
4744,Spring,one,0,Rain,30.145022,0.666667,10.99822956
4010,Spring,one,1,Rain,25.91,0.74625,16.7642131455
4835,Summer,one,1,Rain,28.934978,0.770417,18.4409040245
4507,Summer,one,1,Dry,32.399978,0.7075,18.57428451436
4790,Summer,one,1,Rain,32.069978,0.703333,25.74922756712
4991,Summer,one,1,Dry,31.795022,0.573333,23.9400188045
5202,Summer,one,0,Dry,29.87,0.483333,22.59715654038
5305,Summer,one,0,Dry,28.88,0.513333,10.193126808474
4708,Summer,one,1,Rain,29.045,0.658333,11.60076001864
4648,Summer,one,1,Dry,33.115022,0.634167,15.55742701574
5225,Summer,one,1,Dry,32.069978,0.497917,28.23105354538
5515,Summer,one,1,Dry,29.980022,0.434167,19.98141094336
5362,Summer,one,1,Dry,31.685,0.39625,11.06378763424
5119,Summer,one,0,Dry,32.729978,0.444583,12.40664989836
4649,Summer,one,0,Rain,31.300022,0.6825,24.67679235924
6043,Summer,one,0,Rain,31.960022,0.637917,8.785558293776
4665,Summer,one,1,Dry,33.280022,0.590417,13.61386733124
4629,Summer,one,1,Dry,31.52,0.743333,16.16125138374
4592,Summer,one,1,Dry,33.5,0.65125,17.165864176
4040,Summer,one,1,Rain,30.805022,0.757917,24.27471002562
5336,Summer,one,0,Dry,32.399978,0.609167,18.10524237136
4881,Summer,one,0,Dry,33.335,0.578333,19.78290368238
4086,Summer,one,1,Dry,34.325,0.635833,30.44320724786
