doc_id,industry,text
doc00001,5,"Ok, wow can be said about Tyke's day. This was crazy weird and sorta hectic for Tyke. Many people would disagree but it was still very busy. School was fine and the Tolo assembly was good, especially the video. Haras and Karla did great jobs in their parts. They are just so sexy. As school progressed it got a little bit worse all the while but it was nothing too bad. After school Tyke and Skippy got all ready for their ping-pong tournament. It was pretty danged fun. Quite a few people there in fact. Tyke took out Macaroon in the first round but Tyke played really well. Macaroon did a pretty good job but Tyke's return spinners were too much to handle. The second round saw Tyke facing off against Skippy. Which was bad. Tyke was never able to take a commanding lead really and just lost it for a little bit. He took a 7-6 lead and it was game point but Skippy came back and took the next 3 points to win. It was, as Tyke believes, an upset but Skippy did deserve the W as he just played better than Tyke. After a little while Ekul and the Sly Lion boys came over to partake in the action. Ekul owned hardcore. He is very very good and he did even bring his own paddle and shaving cream with which to smooth off his paddle. Yeah, he is hardcore serious. But extremely good too. He won it all although he didn't get recognition for it necessarily because of his standing at another school. But he was the best there. And that is what matters most. After this Tyke went home and this is when it got crazy. He and his mom talked for a little about Tyke's Tolo outfit. He put on the outfit and got it for her and they tried to decide what to add. Then they thought about where they could find some good ideas after the internet didn't come up with anything good. So Tyke's mom told him to go get The Great Gatsby movie from Blockbuster. So he did. While there, this girl said she really liked his Aviators and then asked if he was from Yakima. Tyke said he just bought the shirt that had Yakima on it last night at Value Village and that he hadn't done the Habitat for Humanity thing. Then the girl said that she had a friend who did ""the stupid th...oh not that it was stupid."" Tyke interrupted and said that he didn't do it so he didn't care. Then he got the movie and walked away. He came back and he and his mom were watching it when his dad called and he had a doctor's appointment scheduled for the day and he was calling to say that he had to go to the hospital to have them look at his little problem. So that was something weird. But Tyke and his mom watched Great Gatsby when all of a sudden Macaroon showed up unexpectedly at the back door while the movie was on. So that was weird. Then he came in and sat down for a while as they watched and got ideas. So finally Tyke found what he was doing. And then Tyke's dad called again. And he told them that he had to get surgery tonight on this hernia thing he has and that was totally unexpected. But it wasn't major so there wasn't need to worry. So Tyke's mom had to rush to the hospital and Tyke and Macaroon went down to Redmond again to try and get some of Tyke's costume stuff finally. But the place was closed. So they went to Value Village to shop some more for Tyke. He ended up finding a good suit jacket to go with his get-up and then he had pretty much everything he needed besides the hat and suspenders. But those can be purchased tomorrow still. At Value Village they saw some fellow Issy's and talked for a little. Then they went back home and watched some hoops before going to the lacrosse game at the school. It was just Tyke, Macaroon, and Piggy J for a while which was cool. Piggy was insane and wearing shorts. Then he kept asking Tyke for the blanket that was smartly accompanying Tyke and keeping him warm. But Tyke politely declined everytime. After a while all of the ladies came. Dotti, Haras, Tina, Purdy, Mandy, Tig, etc. So they talked for a while. And Haras gave Tyke some stoned crackers which tasted really good and Tina talked to Tyke about her gross-out things and Dotti and Tyke talked about his hectic day. It was pretty much heaven. A very cold heaven. But then Tyke had to go to the hospital to pick up his dad's car cuz it was there and he couldn't drive. So he went back to his house and Dotti came and picked him up. They drove down to Bellevue and had a great talk. It was really really great and Tyke didn't want it to stop. But Tyke's mom called as they were about to get on 405 and said that they couldn't pick up the car anyway. So they had to turn around and go back to Tyke's house. But they still got to keep talking and that was extremely enjoyable. After getting home they went in Tyke's house and chatted it up there for a while. Then Tyke's parents got home at about 11 and they went upstairs and talked to them for a little. Tyke's dad seemed pretty good considering he had surgery a little while ago. So he is fine. But then Dotti left and Tyke and his mom talked about their plans for tomorrow and filling up Tyke's brother's car's gas tank and picking up Tyke's dad's car and going out to Redmond again for some costume things and then going to Dotti's at 11:50 for Activity A of Tolo. So Tyke will be getting up before 9 to do all of that. Man, this is a crazy time right now. But it is fun. A lot of good things happening. And nothing that is that bad. So wow, Tyke needs to get some sleep. This is just weird."
doc00002,6,"Once upon a time, there was a sensitive young man. He had boyish good looks, and deep sad eyes. He was what we would call a vegan these days. He neither smoked nor drank. He advocated free health care, no pollution, limited forestry, animal rights and etc. Today's urlLink progressives would've loved him. His name was Adolph Hitler. Hitler was a progressive. That's my theory. He and his cronies didn't come to power by promising to destroy a generation, and ruin the continent. They came to power by promising a lot of ""puppies and kittens"" cowplop. They probably believed it themselves early on."
doc00003,5,i fall apart when i see you it's sad to say that i need you but i'm too afraid to admit that i've dreamed of kissing your lips and losing myself in your eyes my heart silently hurts and cries for you to know just how i feel for you to know that this is real... but i freeze before you my dying love implores you to save me from myself sometimes i just need to be held and be reassured that i'll be ok and be reminded that you won't go away but when i'm alone i feel that i've got no one and i've got nowhere to go... if i could be more positive and discover reasons to live i dno't want to get you into each of my confusing issues i want someone to understand that sometimes i do give a damn but no one around can relate cause their eyes focus on my hate... but i freeze before you my dying love implores you to save me from myself sometimes i just need to be held and be reassured that i'll be ok and be reminded that you won't go away but when i'm alone i feel that i've got no one and i've got nowhere to go... no matter how hard my life gets i still know what love represents and i find it inside of you but all this time you never knew that al of my problems get lost in the wind when yuo shake my hand and i feel yuor smooth skin if i could tell you but i wouldn't know where to begin... i fall apart when i see you it' sad to say that i need you and i'm too afraid to admit that i also love you and i see that i need to believe in myself as much as yo do... but i freeze before you my dying love implores you to save me from myself sometimes i just need to be held and be reassured that i'll be ok and be reminded that you won't go away but when i'm alone i feel that i've got no one and i've got nowhere to go but i freeze before you my dying love implores you to save me from myself before my heart becomes my hell assure me that i'll be ok remind me that you won't go away i don't want to be alone i want to have someone and to have somewhere to go... i don't want to be alone I DON'T WANT TO BE ALONE!!!
doc00004,1,"I am going to use this space to shamelessly plug my own blog! For a while now, I have been documenting some of the funny, bizarre, and downright sad events that have occurred while I was on duty in my previous life as an Assistant Manager in a grocery store. I invite everyone to visit ( urlLink www.grocerytales.blogspot.com ) and comment as you see fit. Granted, my blog may not be as thought-provoking as the Glob Blog, but there may be something there you might find interesting. I will try to post at least once or twice per week. Daver"
doc00005,6,urlLink Google's gonna rock.... Here is my urlLink favourite company .. urlLink Doing the right things at the right time...
doc00006,3,"urlLink William McKinley (1843-1901) This biography focuses on the Spanish-American War. It was written by Lauren Calone. From the site: William McKinley was born in Niles, Ohio, on January 29, 1843, the seventh child of William and Nancy McKinley. William briefly attended Allegheny College, and was teaching in a country school when the Civil War broke out. Following the war, he studied law, began practicing in Canton Ohio, and married Ida Saxton. At age 34, McKinley won a seat in Congress. He was appointed to the Ways and Means Committee. Those who served with him attest that in his votes, he often sided with the public and avoided private interests. During his 14-year tenure with the House, McKinley became a leading expert on tariffs. He later became governor of Ohio, serving two terms. As a congressman, governor and later, president, McKinley, a man of moderation and compromise, held firmly to two beliefs: favorable tariff to stimulate American business and limited coinage of silver. William McKinley was nominated as the Republican candidate for president with the assistance of Mark Hanna, a wealthy industrialist. Favoring tariffs as protection for prosperity for the nation and a limit on silver, he defeated William Jennings Bryan, whom many feared as a threat to the government in the election of 1892. As president, McKinley was converted to the idea of international bimetallism—an agreement of several countries to use both gold and silver as the basis for their currency. He later favored maintaining currency by using the gold standard, opening the way to passage of the Gold Standard Act of 1900."
doc00007,3,"Went to play basketball at Blk 806 with Ben, Daniel, Desmond, Alex and Kelvin .. From 4.45pm till 7.45pm all the way we play and had lots of laughter .. Before i went to meet them i wasn't in the mood but i really cheered up when i see them .. =P Then i saw Yong Jie, Xue Yao, Fabian, Shao Ping and Kai Li roller-bladding but Yong Jie very lonely and sad so i tried to cheer him up but fail ... After playing, all went home only left me, Daniel, Ben and Kelvin go 883 eat dinner .. Then went to Blk 875 there chit-chat talk about own problems and joke around ... =) This is the life just to hang out with friends and relax .. As for Gary that thingy i just wanna make up my mind .. I won't patch with him .. It's best being his good friend ... (WILL TRY NOT TO CHANGE MY MIND!) Reach home bathe use the computer waiting for my dad come home .. Who knows my mum quarrel with him .. * sigh* i cried .. very scared didn't know what to do .. Their arguement lasted for 10mins then went in the room suddenly quiet .. Don't know what's going on inside ... Life's in a mess man .. Always up and down ... But still the sun goes up every morning ..."
doc00008,5,I gained 3 maximum hit points.
doc00009,5,"The days run together. I'm writing this, and I look at my last post, thinking it was a very short time ago I wrote it, while it was three days ago. Three? How did that happen? Well, it's not important. I have a problem. I have to get up at 6:00 in the morning. This is too early for my system, or at least this is what my system is telling me. You think, 6 isn't that bad. 11:00 to 6:00 is only 7 hours. On a good day. So when I wake up, I go take a shower, and then go back to bed. This is my problem. I need my sleep, but I need to get up. This hasn't been solved yet, and has caused many rushed mornings. I need a solution. A real one. ""Go to bed early"" does me as much good as ""Sleep upside-down"". /personal rant (putting the /quip at the end of posts is fun. It gives you a sense of completion and a feeling of making up for any lackings in the previous writing. you should try it.) /friday post ;0)"
doc00010,4,"Ok snarky. Now just stop working for a while and come to skool. You really need to turn in your swann paper and graduate. *giggles insanely* Now it's my turn!!!!!!!!!! Bwahahahah! *everyone is confused, no?*"
doc00011,4,"I went to the doctors yesterday. The name of the bone I broke is the radius (the outside arm bone). I have decided to call it Frank. I hate my cast. I have so far refused to have anyone write on it. Why glorify something that feels like a heavy, dead, rotting, all encapsulating mass that pulls around my neck? My other arm has started to hurt from over use too... Invention for the day: Instant replacement limbs, just add water. I can't even get this one wet!"
doc00012,4,"Well since the person spelled attacked wrong, I'm going to take a big leap and say...Destinie? o -; *whines* Deeeeee! lil button! spell check!"
doc00013,5,I don't feel very well Maybe I got it from sum1... everyone seems 2 be getting sick lately :(
doc00014,5,"I commence with last nights dream as an introduction; I was on a Viking longboat sailing around an Eastern European country, somewhere not dissimilar to Prague in the Czech Republic. In the night sky are three moons, each carrying its own evil grin toward me, along the city streets lie animals in cages, possessed by an evil force as is each building, only the mortar stop it from escaping. I have a pewter staff though, on one side is the Christian Cross engraved; another shows Father Time - I cover the staff in a dark liquid and then this repels the evil; the three moons shrink in to one; the animals return to their normal form and the buildings return to their previous inanimate state. The Longboat continues to sail around the city and gradually the howling of wolves stop as I use my staff to repel evil. Eventually the longboat makes one final turn and it hits a black wall, the wall doesn't smash the boat; instead it splits in half letting us pass through and only then do I realize that its just a fair ground ride. So to today, or this evening more importantly; with less than an hour left my prom date confirmed that she would be going to the prom and subsequently, I got changed and in due course, got to the venue. I played my part as a gentlemen better than ever but she just didn't seem interested me. She even left without informing me and so I too left and found myself watching Paul McCartney at Glastonbury, ending his set with Sgt Pepper's Lonely Hearts Club Band [the reprise]. We're Sergeant Pepper's Lonely Hearts Club Band We hope you have enjoyed the show Sergeant Pepper's Lonely Hearts Club Band We're sorry but it's time to go. Sergeant Pepper's lonely. Sergeant Pepper's lonely. Sergeant Pepper's lonely. Sergeant Pepper's lonely. Sergeant Pepper's Lonely Hearts Club Band We'd like to thank you once again Sergeant Pepper's one and only Lonely Hearts Club Band It's getting very near the end Sergeant Pepper's lonely Sergeant Pepper's lonely Sergeant Pepper's Lonely Hearts Club Band. My life has a habit of playing songs to be ironic at me. Oh well, I guess that might be the last time I see her, so is the way of puppy love. Well good luck to everyone else as I seem to be out of it. I'll end this with irony; We're sorry but it's time to go."
doc00015,3,"Je ne suis pas sûre d'avoir bien compris comment cela fonctionnait, mais nous verrons bien au fur et à mesure..."
doc00016,6,"Umm, as a New Yorker, I must make an alternate orthographical suggestion: ""fuhggedaboudit."" But I heartily second the use of Johnny Depp as example. For anything."
