fgm,period,shot_clock,dribbles,touch_time,shot_dist,pts_type,close_def_dist,shooter_height,defender_height,player_name
0,2,18.6,0,0.8,23.7,2,7.9,78,81,Allen Crabbe
0,4,11,0,1.2,26.7,3,2.8,77,77,arron afflalo
0,3,4.9,2,1.8,9.4,2,3,80,80,hollis thompson
0,4,2,3,3.1,24.3,2,5.8,75,75,stephen curry
0,4,9.9,4,3.9,14.6,2,4.3,73,74,darren collison
1,3,12.7,6,6.7,9.1,2,1.6,77,76,arron afflalo
0,1,3.1,4,5.9,3.5,2,1.6,83,82,lamarcus aldridge
0,2,24,2,4.2,35.2,3,28,76,73,cj mccollum
0,3,19.8,0,0.7,22.7,3,5,74,75,avery bradley
0,4,11.6,2,3.2,3.9,2,1.2,78,82,michael carter-williams
0,1,8.1,0,0.9,22.6,3,4.5,81,73,chris copeland
1,3,3.6,3,3.2,18.1,2,4.4,83,78,giannis antetokounmpo
0,1,22.9,0,1.4,21.7,2,7.1,79,83,wesley johnson
1,2,12,2,4.2,3.5,2,2.9,83,82,chris bosh
1,1,16.8,1,1.1,9.5,2,4.1,86,85,alexis ajinca
0,3,7.6,0,1.4,23.9,3,9.8,77,73,rodney stuckey
0,1,13.5,0,1.3,24.1,3,5.1,80,75,trevor booker
1,1,7.3,3,5.7,5.6,2,1.5,85,82,donatas motiejunas
1,3,8,2,2.3,4.3,2,2.7,79,79,jimmy butler
0,2,7.2,0,0.8,24,3,3.2,77,80,arron afflalo
1,1,24,0,0.6,1.5,2,2.4,83,83,mason plumlee
1,4,8,1,2.5,21.8,2,7,80,81,luc mbah a moute
1,1,14.1,4,3.3,8.8,2,2.1,80,79,demarre carroll
0,2,5.1,0,0,6.6,2,2.6,82,83,henry sims
0,2,10,3,6,8.1,2,2.3,82,85,derrick favors
1,3,21.2,2,3.9,2.8,2,4.8,83,73,giannis antetokounmpo
0,4,17.4,0,1.1,28,3,5.1,75,74,damian lillard
1,3,18.4,0,0.7,5.5,2,2.4,80,80,kenneth faried
0,2,7.3,0,0,3.6,2,1.4,85,83,rudy gobert
1,3,24,0,0.2,6,2,0.1,83,82,marcin gortat
0,4,1.6,4,5.9,25.5,3,4.6,73,75,chris paul
0,2,3.1,3,2.4,26.4,3,4.2,74,75,tony parker
0,4,20.4,0,1,24.6,3,5.5,78,76,dante exum
0,2,13.4,1,4.8,14.6,2,1.4,80,76,andrew wiggins
0,5,24,0,0,8.4,2,2.8,81,81,darrell arthur
0,1,10,1,5.2,8.7,2,3.6,79,85,jason maxiell
0,5,16.9,7,7,25.5,3,4.8,75,75,damian lillard
1,2,12.9,1,2.5,0.9,2,2.1,85,81,kelly olynyk
1,1,12.5,1,3.6,3.6,2,2.7,82,80,Amar'e Stoudemire
1,2,21.4,3,2.3,7.8,2,2.2,80,80,lebron james
