doc_id,class,class_name,text
doc00001,3,Lyndon B. Johnson,"Yet there is in the land a certain restlessness--a questioning. The total of our Nation's annual production is now above $800 billion. For 83 months this Nation has been on a steady upward trend of growth. All about them, most American families can see the evidence of growing abundance: higher paychecks, humming factories, new cars moving down new highways. More and more families own their own homes, equipped with more than 70 million television sets."
doc00002,2,Harry S Truman,"We must also go on to support the International Trade Organization, through which we hope to obtain worldwide agreement on a code of fair conduct in international trade. Our present major effort toward economic reconstruction is to support the program for recovery developed by the countries of Europe. In my recent message to the Congress, I outlined the reasons why it is wise and necessary for the United States to extend this support. I want to reaffirm my belief in the soundness and the promise of this proposal. When the European economy is strengthened, the product of its industry will be of benefit to many other areas of economic distress."
doc00003,1,Dwight D. Eisenhower,"Legislative recommendations in the field of agriculture are contained in the Budget Message. Our soil, water, mineral, forest, fish, and wildlife resources are being conserved and improved more effectively. Their conservation and development are vital to the present and future strength of the Nation. But they must not be the concern of the Federal Government alone. State and local entities, and private enterprise should be encouraged to participate in such projects."
doc00004,3,Lyndon B. Johnson,"These programs are obviously not for the poor or the underprivileged alone. Every American will benefit by the extension of social security to cover the hospital costs of their aged parents. Every American community will benefit from the construction or modernization of schools, libraries, hospitals, and nursing homes, from the training of more nurses and from the improvement of urban renewal in public transit. And every individual American taxpayer and every corporate taxpayer will benefit from the earliest possible passage of the pending tax bill from both the new investment it will bring and the new jobs that it will create. That tax bill has been thoroughly discussed for a year."
doc00005,1,Dwight D. Eisenhower,"We are also reducing further our requests for new appropriations. Second, despite the substantial loss of revenue in the coming fiscal year, resulting from tax reductions now in effect and tax adjustments which I shall propose, our reduced spending will move the new budget closer to a balance. Third, by keeping new appropriation requests below estimated revenues, we continue to reduce the tremendous accumulation of unfinanced obligations incurred by the Government under past appropriations. Fourth, until those claims on our Government's revenues are further reduced, the growth in the public debt cannot be entirely stopped. Because of this--because the government's bills have to be paid every month, while the tax money to pay them comes in with great unevenness within the fiscal year--and because of the need for flexibility to manage this enormous debt, I find it necessary to renew my request for an increase in the statutory debt limit."
doc00006,3,Lyndon B. Johnson,"They imposed very severe and very unfair burdens on our home buyers and on our home builders, and all those associated with the home industry. Last January, and again last September, I recommended fiscal and moderate tax measures to try to restrain the unbalanced pace of economic expansion. Legislatively and administratively we took several billions out of the economy. With these measures, in both instances, the Congress approved most of the recommendations rather promptly. As 1966 ended, price stability was seemingly being restored."
doc00007,4,Richard M. Nixon,"We have not been as ready as we should have been to compromise our differences and to build a broad coalition for change. And so we often have found ourselves in a situation of stalemate--doing essentially nothing even though most of us agree that nothing is the very worst thing we can do. Two years ago this week, and again one year ago, my messages on the state of the Union contained broad proposals for domestic reform. I am presenting a number of new proposals in this year's message. But I also call once again, with renewed urgency, for action on our unfinished agenda."
doc00008,4,Richard M. Nixon,"How can we truly open the doors, and set free the full genius of our people? The way in which the 92d Congress answers these questions will determine its place in history. More importantly, it can determine this Nation's place in history as we enter the third century of our independence. Tonight I shall present to the Congress six great goals. I shall ask not simply for more new programs in the old framework."
doc00009,2,Harry S Truman,"But the systems are rounded on fairness and justice, and they are working at full speed. We shall try to avoid mistakes, injustices, and hardship--as far as humanly possible. We have already reached the point where shipping is no longer the bottleneck in the return of troops from the European theater. The governing factor now has become the requirement for troops in sufficient strength to carry out their missions. In a few months the same situation will exist in the Pacific."
doc00010,5,Ronald Reagan,"We ask the Congress once again: Give us the same tool that 43 Governors have-;a lineitem veto so we can carve out the boondoggles and pork, those items that would never survive on their own. I will send the Congress broad recommendations on the budget, but first I'd like to see yours. Let's go to work and get this done together. But now let's talk about this year's budget. Even though I have submitted it within the Gramm-Rudman-Hollings deficit reduction target, I have seen suggestions that we might postpone that timetable."
doc00011,3,Lyndon B. Johnson,NA NA NA NA NA
doc00012,5,Ronald Reagan,"Supported by our allies, we've put forward draft agreements proposing significant weapon reductions to equal and verifiable lower levels. We insist on an equal balance of forces. And given the overwhelming evidence of Soviet violations of international treaties concerning chemical and biological weapons, we also insist that any agreement we sign can and will be verifiable. In the case of intermediate-range nuclear forces, we have proposed the complete elimination of the entire class of land-based missiles. We're also prepared to carefully explore serious Soviet proposals."
doc00013,5,Ronald Reagan,"Tonight America is stronger because of the values that we hold dear. We believe faith and freedom must be our guiding stars, for they show us truth, they make us brave, give us hope, and leave us wiser than we were. Our progress began not in Washington, DC, but in the hearts of our families, communities, workplaces, and voluntary groups which, together, are unleashing the invincible spirit of one great nation under God. Four years ago we said we would invigorate our economy by giving people greater freedom and incentives to take risks and letting them keep more of what they earned. We did what we promised, and a great industrial giant is reborn."
doc00014,1,Dwight D. Eisenhower,"Hasty and ill-considered action of any kind could seriously upset the subtle equation that encompasses debts, obligations, expenditures, defense demands, deficits, taxes, and the general economic health of the Nation. Our goals can be clear, our start toward them can be immediate--but action must be gradual. Second. It is clear that too great a part of the national debt comes due in too short a time. The Department of the Treasury will undertake at suitable times a program of extending part of the debt over longer periods and gradually placing greater amounts in the hands of longer-term investors."
doc00015,2,Harry S Truman,To achieve success will require both boldness in setting our sights and caution in steering our way on an uncharted course. But we have no luxury of choice. We must move ahead. No return to the past is possible. Our Nation has always been a land of great opportunities for those people of the world who sought to become part of us.
doc00016,1,Dwight D. Eisenhower,"The second is that the domestic and industrial demands for water grow far more rapidly than does our population. The whole matter of making the best use of each drop of water from the moment it touches our soil until it reaches the oceans, for such purposes as irrigation, flood control, power production, and domestic and industrial uses clearly demands the closest kind of cooperation and partnership between municipalities, States and the Federal Government. Through partnership of Federal, state and local authorities in these vast projects we can obtain the economy and efficiency of development and operation that springs from a lively sense of local responsibility. Until such partnership is established on a proper and logical basis of sharing authority, responsibility and costs, our country will never have both the fully productive use of water that it so obviously needs and protection against disastrous flood. If we fail in this, all the many tasks that need to be done in America could be accomplished only at an excessive cost, by the growth of a stifling bureaucracy, and eventually with a dangerous degree of centralized control over our national life."
doc00017,5,Ronald Reagan,"She helps them with love. Go to her house some night, and maybe you'll see her silhouette against the window as she walks the floor talking softly, soothing a child in her arms-Mother Hale of Harlem, and she, too, is an American hero. Jean, Mother Hale, your lives tell us that the oldest American saying is new again: Anything is possible in America if we have the faith, the will, and the heart. History is asking us once again to be a force for good in the world. Let us begin in unity, with justice, and love."
doc00018,5,Ronald Reagan,"Our Judeo-Christian tradition recognizes the right of taking a life in self-defense. But with that one exception, let us look to those others in our land who cry out for children to adopt. I pledge to you tonight I will work to remove barriers to adoption and extend full sharing in family life to millions of Americans so that children who need homes can be welcomed to families who want them and love them. And let me add here: So many of our greatest statesmen have reminded us that spiritual values alone are essential to our nation's health and vigor. The Congress opens its proceedings each day, as does the Supreme Court, with an acknowledgment of the Supreme Being."
doc00019,5,Ronald Reagan,"It's time for America to be all that we can be. We speak tonight of an agenda for the future, an agenda for a safer, more secure world. And we speak about the necessity for actions to steel us for the challenges of growth, trade, and security in the next decade and the year 2000. And we will do itnot by breaking faith with bedrock principles but by breaking free from failed policies. Let us begin where storm clouds loom darkestright here in Washington, DC."
doc00020,1,Dwight D. Eisenhower,"HUMAN PROBLEMS   Along with the protection of freedom and maintenance of a strong and growing economy, this Administration recognizes a third great purpose of government: concern for the human problems of our citizens. In a modern industrial society, banishment of destitution and cushioning the shock of personal disaster on the individual are proper concerns of all levels of government, including the federal government. This is especially true where remedy and prevention alike are beyond the individual's capacity. LABOR AND WELFARE   Of the many problems in this area, those I shall first discuss are of particular concern to the members of our great labor force, who with their heads, hearts and hands produce so much of the wealth of our country. Protection against the hazards of temporary unemployment should be extended to some 6 millions of workers, including civilian Federal workers, who now lack this safeguard."
doc00021,5,Ronald Reagan,"They will not. Unless we act forcefullyand nowthe economy will get worse. Can we, who man the ship of state, deny it is somewhat out of control? Our national debt is approaching $1 trillion. A few weeks ago I called such a figure, a trillion dollars, incomprehensible, and I've been trying ever since to think of a way to illustrate how big a trillion really is."
doc00022,5,Ronald Reagan,"I hope I've made it plain that our approach has been evenhanded, that only the programs for the truly deserving needy remain untouched. The question is, are we simply going to go down the same path we've gone down before, carving out one special program here, another special program there? I don't think that's what the American people expect of us. More important, I don't think that's what they want. They're ready to return to the source of our strength."
