median_house_value,population,latitude,longitude,total_units,vacant_units,median_rooms,mean_household_size_owners,mean_household_size_renters,built_2005_or_later,built_2000_to_2004,built_1990s,built_1980s,built_1970s,built_1960s,built_1950s,built_1940s,built_1939_or_earlier,bedrooms_0,bedrooms_1,bedrooms_2,bedrooms_3,bedrooms_4,bedrooms_5_or_more,owners,renters,median_household_income,mean_household_income
909.6,1974,37.848292,-122.249525,929,37,6,2.53,1.81,0,1.2,0,1.3,6.1,6.5,1,10.8,73.2,3,16.4,27.4,34.4,17.5,1.2,66,34,111.667,195.229
748.7,4865,37.840265,-122.254416,2655,134,4.6,2.45,1.66,0,0,2.3,3.2,5.2,8.3,5.3,7.8,68,11.5,28.4,29.2,20.4,7.9,2.7,45.1,54.9,66.094,105.877
773.6,3703,37.848451,-122.25731,1911,68,5,2.04,2.19,0,0.2,1.3,0,4.9,4.3,8,10.4,71.1,5.2,27.7,33.7,21.9,7.3,4.2,45,55,87.306,106.248
480.8,1571,37.842226,-122.264926,781,65,4.8,2.58,2.18,0,0,1.2,1.4,1,6.5,19.7,17,53.1,3.5,20.4,40.1,30.7,4.6,0.8,51,49,55.658,73.933
439.3,2302,37.839285,-122.280316,1202,80,4.4,2.7,1.92,0,2.2,0.6,5.9,0,5.5,9.1,14.7,62,14.2,20.1,39.4,18.3,5.5,2.5,31.7,68.3,59.091,59.69
369.8,5678,37.831263,-122.272163,2665,500,4.6,2.75,2.08,0,2.2,0,0.5,4.3,11.2,11.3,8.5,62.1,6.1,29.3,35.4,25.3,3.9,0,35.1,64.9,40.402,50.056
467.2,4156,37.829959,-122.263403,2182,148,3.5,2.3,1.96,0.4,1.1,1.7,0.5,4.1,3.6,13.4,11.8,63.3,11,44,24.4,16.1,3.7,0.8,16.8,83.2,44.14,56.674
591.2,2416,37.830988,-122.258039,1372,33,4.3,2.02,1.61,0,2.2,0.6,3.1,1.4,3.5,8.2,13.9,67.1,6.2,29.2,40.8,20.4,2.9,0.4,41.7,58.3,59.554,81.476
352.4,3528,37.8165,-122.26787,1908,227,3,1.45,1.97,5.9,8.4,3.2,7.3,8,16.3,7.1,6.6,37.2,22.5,47,17.5,11.1,0.4,1.6,12.5,87.5,31.08,45.789
322.7,4314,37.819904,-122.273309,1870,432,3.9,2.15,2.6,0,1.8,2.5,3.3,7.2,2.4,8.4,9.4,65,12.4,26.5,31.9,20.2,7.6,1.3,18.1,81.9,30.777,38.234
353.7,2630,37.823505,-122.28048,1254,382,3.9,2.09,1.86,3.9,2.6,4.9,2.6,0,3.5,6,6.5,69.9,15.2,28.1,32.5,21.2,1.4,1.6,40.4,59.6,27.183,47.209
321.6,2163,37.81667,-122.279621,947,173,4.1,3.47,2.17,0,27.6,4.4,7,4.2,3,12.6,1.4,39.9,1.9,22.4,42.9,24.9,5.7,2.2,18,82,37.679,47.593
377.8,2667,37.817286,-122.293793,1025,167,4.1,2.51,3.1,36.3,5.2,8,2.7,4.8,1.1,5.2,4.4,32.4,6.4,20.8,42.8,24.7,2,3.2,44.4,55.6,62.895,79.06
334.1,1703,37.809593,-122.298293,854,277,4.6,3.28,2.53,1.1,5.4,9.6,2.1,1.1,9.4,7.6,11,52.8,7.5,16.6,31.6,30.7,5,8.5,15.1,84.9,30.37,38.382
330.9,2351,37.811419,-122.28219,1210,126,4.1,3.45,2.01,0,2.6,2.4,7,10.6,12.1,9.4,8.4,47.4,10.4,21.7,33.8,17.5,8,8.5,14.9,85.1,20.874,29.672
285.5,1784,37.804984,-122.285183,846,79,4.3,2.21,2.72,0,5,11.9,7.3,23.6,15.1,10,4.7,22.2,4.5,22.6,35.9,26.8,10.2,0,23.5,76.5,21.571,36.145
347.6,1569,37.810251,-122.277443,796,131,4,2.25,2.24,0,4.3,4.9,0.8,14.1,1.9,3.4,8.7,62.1,8.8,26,29,24.1,2.8,9.3,37.3,62.7,35.08,48.131
324.1,3345,37.808665,-122.272709,1716,211,2.5,1.71,1.35,20,3.8,1.8,10.8,8.3,5.1,8.1,5.5,36.5,37.8,39.3,14,3.9,1.6,3.4,9.6,90.4,21.993,41.64
369.9,2788,37.800788,-122.270661,1597,375,3,1.54,1.91,2.4,3.2,19.2,8.1,18.8,3.3,4.6,6.8,33.7,14.8,46.2,29.4,4.9,3.3,1.4,21.6,78.4,17.569,33.976
407.1,2238,37.801099,-122.276502,655,82,3,1.71,1.75,32.1,3.2,23.8,1.5,2.1,4.3,5.8,3.8,23.4,30.2,22,36.8,6.1,0,4.9,41.5,58.5,42.625,56.426
404,4054,37.7956,-122.267839,2372,334,3.2,1.84,2.05,8.2,38.8,5.9,0.4,9.6,1.6,6.2,3.1,26.3,9.6,46.1,36.6,5.1,2.2,0.4,28.6,71.4,69.605,74.171
452.3,4146,37.803458,-122.263683,3086,118,3,1.26,1.49,2.4,5.6,1.8,10.7,11.7,18.2,11.1,8.5,30,18.8,60.9,17.8,2.5,0,0,12.7,87.3,42.358,61.668
351.7,4374,37.817316,-122.259876,2513,170,3.1,1.96,2.1,2.7,1.6,2.3,6.9,16.3,12,12.5,9,36.6,10.1,60.5,20.4,6.2,0.6,2.2,12.2,87.8,33.635,51.389
364.2,4482,37.813421,-122.254114,2932,369,3.3,2.11,1.77,0,0.4,0.4,3.6,13.8,36.5,17.1,11.6,16.5,5.4,55,29.3,5.1,2.5,2.6,22.1,77.9,56.303,73.091
343.6,2587,37.811375,-122.258315,2030,318,2.8,1.44,1.44,0,0,0.7,2.7,15.8,31.4,12.4,5.1,31.9,22.3,50.8,24.2,1.5,0.5,0.7,10.9,89.1,60.278,68.211
377.9,1724,37.809381,-122.253441,1184,33,3.5,1.54,1.67,0,0,0,5.3,9.2,25.8,15.3,7.9,36.6,5.8,59.7,30.7,3.7,0,0,18.9,81.1,66.761,76.234
720.2,3461,37.814476,-122.242249,2033,139,4.2,2.37,1.7,0,2,1.6,1.2,10.7,4.2,12,8.7,59.6,7.9,32,32.5,15,10,2.6,33,67,78.036,107.081
426.9,3584,37.817368,-122.249127,2374,122,3.7,1.92,1.58,0,0,3.6,7.5,20.2,28.7,8.8,0.7,30.5,3.6,43,42.4,6.2,2.4,2.4,33,67,61.995,85.867
