crime_type,year,month,day,hour,location,latitude,longitude
battery,2001,11,17,18,STREET,41.898402712,-87.6388974
battery,2005,8,6,11,ALLEY,41.707112071,-87.627537804
criminal damage,2003,7,9,15,SMALL RETAIL STORE,41.892816145,-87.624193198
theft,2012,3,27,22,RESIDENCE,41.73576911,-87.58054668
criminal damage,2003,9,19,12,HOSPITAL BUILDING/GROUNDS,41.757630995,-87.585708249
criminal damage,2003,1,16,21,OTHER,41.758214815,-87.624119338
theft,2012,10,19,19,RESIDENCE-GARAGE,41.852866981,-87.691658554
criminal damage,2009,8,24,22,SIDEWALK,41.649568403,-87.544734672
battery,2013,10,7,20,STREET,41.699584978,-87.628081503
criminal damage,2011,1,12,24,"SCHOOL, PUBLIC, BUILDING",41.935428738,-87.783396923
theft,2009,11,5,23,STREET,41.991147668,-87.776656803
theft,2006,9,11,19,STREET,41.79240872,-87.736618961
theft,2016,6,20,23,STREET,41.915544663,-87.759410257
battery,2011,2,20,11,STREET,41.797222838,-87.653739707
theft,2007,12,25,19,APARTMENT,41.655308597,-87.613159131
theft,2010,12,28,20,STREET,41.902547422,-87.684567656
criminal damage,2004,12,20,9,PARKING LOT/GARAGE(NON.RESID.),41.892760278,-87.622702655
battery,2011,7,14,11,SIDEWALK,41.878460682,-87.755919637
criminal damage,2001,7,1,15,RESIDENCE,41.878128824,-87.703736409
theft,2007,1,1,12,PARKING LOT/GARAGE(NON.RESID.),41.898680349,-87.643985382
theft,2011,10,22,6,STREET,41.823528463,-87.703137924
battery,2011,2,5,1,GAS STATION,41.874153389,-87.735238688
criminal damage,2016,8,28,3,STREET,41.853930752,-87.623841071
battery,2008,9,16,19,ALLEY,41.888229536,-87.76513795
battery,2013,9,24,20,SIDEWALK,41.787658582,-87.652278668
theft,2016,4,12,6,STREET,41.967894291,-87.71824209
criminal damage,2014,4,5,24,COMMERCIAL / BUSINESS OFFICE,41.887289811,-87.658908031
theft,2005,9,23,22,SIDEWALK,41.737367232,-87.64000479
theft,2005,7,4,15,PARK PROPERTY,41.953087341,-87.725090015
battery,2003,10,8,15,STREET,41.880957721,-87.747744993
battery,2003,11,15,21,STREET,41.895273654,-87.767844936
battery,2003,8,17,20,STREET,41.9084987,-87.759657059
battery,2003,1,22,17,STREET,41.884471648,-87.743706376
theft,2008,2,28,16,ALLEY,41.79533148,-87.778240858
theft,2010,12,11,21,PARKING LOT/GARAGE(NON.RESID.),41.772972076,-87.644610871
battery,2007,7,13,17,SIDEWALK,41.903242472,-87.71657814
criminal damage,2004,3,1,5,APARTMENT,41.912887914,-87.688504318
criminal damage,2003,10,14,19,GROCERY FOOD STORE,41.909614875,-87.747016581
theft,2012,4,28,20,STREET,41.807570272,-87.747155691
theft,2004,1,17,3,OTHER,41.80698532,-87.619528654
battery,2004,3,26,11,SIDEWALK,41.905025355,-87.709305775
theft,2007,10,9,22,CHURCH/SYNAGOGUE/PLACE OF WORSHIP,41.749638738,-87.663421759
criminal damage,2013,4,12,10,APARTMENT,41.759579038,-87.61270186
battery,2012,8,26,12,STREET,41.873788515,-87.696964272
battery,2009,7,19,18,STREET,41.750370861,-87.662377041
battery,2004,6,11,24,SIDEWALK,41.907378172,-87.689603086
theft,2004,3,1,9,RESTAURANT,41.869034816,-87.68216037
theft,2004,10,5,17,STREET,41.810772464,-87.609014118
theft,2008,10,26,22,RESIDENCE-GARAGE,41.972622792,-87.800040981
theft,2011,9,16,15,STREET,41.747645397,-87.603347877
theft,2010,9,4,15,STREET,41.923896527,-87.771296264
theft,2005,1,1,5,STREET,41.717243701,-87.655271579
theft,2002,10,6,19,DRIVEWAY - RESIDENTIAL,41.762508464,-87.641478921
battery,2013,10,17,21,STREET,41.797751142,-87.61605544
criminal damage,2012,7,23,14,STREET,41.947008254000004,-87.64251291
theft,2004,1,18,21,CHURCH/SYNAGOGUE/PLACE OF WORSHIP,41.760340683,-87.588407406
criminal damage,2002,9,14,20,HOTEL/MOTEL,41.898333269,-87.62750777
theft,2015,7,16,11,DRIVEWAY - RESIDENTIAL,41.841244671,-87.645141673
theft,2009,1,22,19,STREET,41.973588441,-87.663315953
criminal damage,2006,4,7,12,STREET,41.968640186,-87.771123759
battery,2016,3,24,10,BANK,41.881016537,-87.632339962
theft,2010,1,23,24,RESIDENCE,41.9065636,-87.754652554
criminal damage,2016,12,7,16,"SCHOOL, PRIVATE, BUILDING",41.876628223,-87.650053381
theft,2008,4,19,10,APARTMENT,41.774282621,-87.613083533
theft,2005,10,16,14,APARTMENT,41.742331147,-87.652303504
theft,2004,10,26,11,STREET,41.926915088,-87.718275764
theft,2001,7,29,2,APARTMENT,41.944965724,-87.720168108
battery,2002,1,25,13,RESIDENCE,41.799621611,-87.655643463
battery,2005,9,17,19,PARK PROPERTY,41.880890949,-87.619525593
criminal damage,2002,9,17,24,APARTMENT,41.789847106,-87.671759925999993
battery,2005,10,23,1,RESIDENCE PORCH/HALLWAY,41.744870944,-87.60378605
criminal damage,2014,4,3,18,PARKING LOT/GARAGE(NON.RESID.),41.88489739,-87.766676821
battery,2015,6,8,22,VEHICLE NON-COMMERCIAL,41.89765683,-87.726152565
theft,2009,9,5,6,RESIDENCE,41.819351842,-87.61569704
battery,2004,1,30,15,STREET,41.809081165,-87.633674979
criminal damage,2002,11,23,10,LIBRARY,41.876607964,-87.627644063
criminal damage,2017,3,7,14,SMALL RETAIL STORE,41.80960703,-87.674813888
criminal damage,2008,11,1,15,DEPARTMENT STORE,41.896010965,-87.624279065
theft,2005,12,30,23,APARTMENT,41.748997945,-87.600268946
battery,2005,7,30,19,STREET,41.893649131,-87.714125144
theft,2008,8,30,12,STREET,41.93657219,-87.779785269
battery,2008,8,14,14,STREET,41.896206666,-87.724888091
theft,2002,9,27,22,VEHICLE NON-COMMERCIAL,41.920362955,-87.694352197
battery,2015,6,13,22,STREET,41.853965653,-87.679182227
criminal damage,2010,8,8,3,SIDEWALK,41.890824988,-87.630183362
theft,2007,7,28,1,RESIDENCE,41.934483772,-87.652177898
criminal damage,2009,12,26,18,RESIDENCE,41.919308468,-87.754779927
criminal damage,2001,8,14,7,COMMERCIAL / BUSINESS OFFICE,41.847311797,-87.724790075
theft,2005,1,6,3,RESIDENCE,41.764060147,-87.659683275
battery,2012,5,25,14,RESIDENCE,41.863385678,-87.727526865
criminal damage,2007,11,12,18,RESIDENCE PORCH/HALLWAY,41.832278311,-87.611035696
criminal damage,2014,3,17,10,STREET,41.971552378,-87.656787951
battery,2002,3,12,10,PARK PROPERTY,42.014512189,-87.678466914
criminal damage,2001,5,2,20,STREET,41.953801539,-87.70886329
battery,2014,7,25,10,APARTMENT,41.899683801,-87.668967121
theft,2012,6,24,5,RESIDENCE,41.919541685,-87.759694111
criminal damage,2006,9,20,20,STREET,41.927779262,-87.640192135
theft,2013,2,1,16,ALLEY,41.837971865,-87.70973011
battery,2003,6,13,13,CHA PARKING LOT/GROUNDS,41.700584371,-87.56399184
theft,2008,7,18,21,STREET,41.977037844,-87.689196234
theft,2010,2,19,21,VEHICLE NON-COMMERCIAL,42.015198301,-87.692579475
criminal damage,2007,10,12,14,SMALL RETAIL STORE,41.762419957,-87.683180808
theft,2016,2,22,8,APARTMENT,41.771695499,-87.657935406000007
theft,2009,2,16,16,STREET,41.89827066,-87.715186113
theft,2007,4,14,16,PARK PROPERTY,41.942842093,-87.761731154
criminal damage,2011,11,28,12,OTHER,41.745220304,-87.643005725
theft,2003,1,25,23,RESIDENCE,41.811322108,-87.640733803
theft,2007,5,12,18,OTHER,41.692376319,-87.68117354
criminal damage,2012,6,17,22,ALLEY,41.852180051,-87.724776967
criminal damage,2005,4,27,6,STREET,41.771628951,-87.645790993
criminal damage,2004,7,28,4,STREET,41.827277651,-87.614438098
criminal damage,2010,4,7,12,APARTMENT,41.78162664,-87.64125878
criminal damage,2004,10,21,16,STREET,41.916661615,-87.688572882
criminal damage,2002,11,22,21,OTHER,41.764686314,-87.684074304
criminal damage,2006,9,26,2,GROCERY FOOD STORE,41.864493678,-87.639158
theft,2016,10,28,17,STREET,41.889981729,-87.657943188
battery,2010,5,17,20,SIDEWALK,41.894553036,-87.719945341
theft,2017,3,24,19,RESIDENCE,41.741769468,-87.694015341
criminal damage,2008,11,8,24,RESIDENCE,41.909854428,-87.668578786
battery,2009,3,30,23,STREET,41.750224946,-87.664650661
battery,2010,10,25,13,SIDEWALK,41.878856009,-87.726672071
criminal damage,2010,5,9,17,GROCERY FOOD STORE,41.942216025,-87.728968248
theft,2003,9,28,16,APARTMENT,41.865620822,-87.719506076
criminal damage,2017,1,23,18,STREET,41.912676108,-87.66207967
theft,2008,9,2,5,RESIDENCE-GARAGE,41.772500361,-87.73479824
battery,2008,11,28,3,STREET,41.678961547,-87.637121516
criminal damage,2012,5,30,8,COMMERCIAL / BUSINESS OFFICE,41.853127184,-87.719174068
theft,2003,11,18,13,STREET,42.017155674,-87.67765228
theft,2007,1,8,1,STREET,41.938589826,-87.684033387
criminal damage,2005,8,13,3,SIDEWALK,41.884420883,-87.72089792
theft,2001,4,13,22,STREET,41.846737865,-87.683638061
theft,2010,10,23,19,STREET,41.800853391,-87.651401786
criminal damage,2002,4,17,23,STREET,41.945053673,-87.745376045
theft,2012,6,21,7,STREET,41.970865588,-87.710987604
battery,2005,5,10,14,STREET,41.884560559,-87.735953224
criminal damage,2007,10,16,12,STREET,41.916825785,-87.676383919
theft,2016,2,22,19,PARKING LOT/GARAGE(NON.RESID.),41.739004946,-87.64491897
battery,2006,5,4,24,APARTMENT,41.801538809,-87.616145232
criminal damage,2004,2,26,23,SMALL RETAIL STORE,41.946614037,-87.709293678
theft,2013,7,1,24,RESIDENCE,41.751575306,-87.661855097
criminal damage,2007,1,1,3,OTHER,41.970666173,-87.728096309
criminal damage,2006,10,27,18,GROCERY FOOD STORE,41.96137851,-87.65474101
battery,2014,6,13,14,STREET,41.777521134,-87.63625819
criminal damage,2011,3,10,10,HOSPITAL BUILDING/GROUNDS,41.860911204,-87.695744714
theft,2004,8,5,9,STREET,41.779498076,-87.74110529
battery,2003,4,21,10,RESIDENCE PORCH/HALLWAY,41.966047906,-87.661060061
battery,2004,7,27,11,OTHER,41.873699424,-87.704705156
criminal damage,2002,8,3,14,SMALL RETAIL STORE,41.754592961,-87.741528537
criminal damage,2006,2,9,14,RESIDENCE,41.806886042,-87.735795069
criminal damage,2010,4,14,13,STREET,41.897390314,-87.651297664
criminal damage,2016,7,6,17,RESIDENCE-GARAGE,41.93647023,-87.681908498
