delayed,month,day,weekday,arr_hour,dep_hour,origin,dest,distance,carrier
15,4,14,6,22,21,CLT,GSO,83,YV
0,5,26,6,13,11,DCA,MLB,769,EV
0,7,19,4,22,21,DTW,CLE,95,NW
30,12,9,7,22,20,OAK,SEA,671,WN
15,3,27,2,14,12,LAS,PHX,256,US
0,11,7,3,16,8,OAK,IAD,2408,B6
0,12,12,3,21,15,DEN,MIA,1709,UA
90,8,18,6,19,17,PHL,MSP,980,NW
0,8,16,4,12,9,LAX,DEN,862,UA
15,1,6,6,12,11,MSP,HDN,774,NW
0,3,14,3,21,20,BOS,PHL,280,US
60,3,7,3,14,13,EWR,BUF,282,XE
15,8,9,4,12,11,BOS,LGA,185,DL
0,5,1,2,7,6,DTW,DCA,405,NW
0,10,30,2,21,19,RNO,LAX,390,XE
0,6,19,2,14,12,BWI,IAH,1235,CO
45,9,17,1,10,9,LAS,SNA,226,US
60,12,14,5,15,11,BOS,PBI,1197,B6
15,5,16,3,15,13,DFW,MOB,540,MQ
15,10,2,2,17,16,OKC,LAX,1187,OO
75,12,17,1,20,20,DEN,ASE,125,OO
165,3,23,5,18,17,ATL,MDW,590,EV
45,8,16,4,11,9,BWI,DFW,1217,FL
0,2,24,6,11,9,ATL,MTJ,1352,DL
0,4,30,1,15,14,KOA,HNL,163,YV
0,5,31,4,13,10,MSP,BOS,1124,NW
0,1,18,4,16,15,IAH,TUL,429,XE
0,5,15,2,10,7,IND,MIA,1021,MQ
120,11,25,7,22,21,ATL,IAH,689,DL
45,5,3,4,12,11,DAL,IAH,217,XE
0,6,29,5,12,11,HSV,MEM,184,9E
0,8,7,2,16,14,LAX,PHX,370,WN
60,6,29,5,18,13,ANC,SEA,1449,AS
0,3,21,3,16,13,ATL,TTN,701,OH
0,10,9,2,18,10,LGB,JFK,2465,B6
30,8,23,4,20,17,LIT,DTW,705,9E
15,10,1,1,11,9,PHX,ABQ,328,WN
15,2,15,4,22,19,LAX,COS,833,OO
0,9,30,7,20,19,ATL,SAN,1891,DL
0,6,5,2,17,16,STL,MDW,251,WN
0,10,2,2,8,7,SAT,DFW,247,AA
15,8,30,4,12,9,LIT,ATL,453,EV
90,10,28,7,14,13,CEC,SFO,304,OO
30,7,5,4,21,21,ATL,MOB,302,EV
0,7,8,7,8,7,FCA,SLC,532,OO
0,10,5,5,11,9,CLT,JAX,329,US
15,1,7,7,6,6,RDM,PDX,116,OO
15,6,6,3,18,16,MOT,MSP,449,NW
15,9,13,4,18,17,JAN,DFW,408,MQ
0,9,14,5,16,13,MDW,LAX,1750,WN
0,6,23,6,16,13,MIA,DTW,1145,NW
75,11,12,1,19,17,EWR,ORD,719,UA
0,6,16,6,13,12,CIC,SFO,153,OO
15,3,21,3,13,9,EWR,STT,1634,CO
15,1,7,7,13,7,DEN,MIA,1709,AA
0,2,15,4,18,17,CLT,IND,428,YV
15,4,24,2,16,13,DFW,TPA,929,AA
0,7,12,4,14,12,PBI,CLE,1020,XE
0,8,1,3,10,9,DTW,PDX,1953,NW
60,5,3,4,22,17,SAT,EWR,1569,CO
45,12,20,4,20,17,BNA,MCO,616,WN
0,4,6,5,17,14,HPN,ATL,780,EV
135,6,24,7,17,16,ATL,BQK,238,EV
15,5,10,4,18,15,TPA,BDL,1111,WN
15,8,8,3,20,18,PNS,ATL,272,FL
0,4,25,3,11,10,PHX,LAS,256,WN
15,6,3,7,11,10,DTW,IAD,383,NW
15,10,28,7,15,13,HOU,BNA,670,WN
0,2,5,1,23,21,BUR,PHX,369,WN
30,11,11,7,16,14,ATL,RIC,481,FL
0,5,29,2,8,7,DAL,HOU,239,WN
0,11,18,7,14,14,PBI,TPA,174,WN
0,5,27,7,9,8,TUS,PHX,110,YV
120,5,15,2,21,18,MDW,SEA,1733,WN
0,6,21,4,11,10,MSP,MDW,349,NW
0,11,4,7,16,15,MSY,DFW,448,AA
15,11,6,2,10,7,MKE,PHX,1460,US
0,5,16,3,23,22,DTW,SBN,157,9E
0,10,2,2,14,12,YKM,SLC,586,OO
0,12,9,7,8,6,DTW,ATL,594,FL
0,6,2,6,9,8,SLC,IDA,188,OO
105,9,25,2,23,21,ORD,ROC,528,UA
45,5,5,6,20,19,GEG,SEA,224,AS
0,4,14,6,16,11,LAX,IAH,1379,CO
15,10,6,6,17,16,SAN,LAS,258,WN
30,3,27,2,18,11,LAS,CLT,1916,US
0,9,25,2,11,11,SLC,IDA,188,OO
15,2,20,2,14,10,PHX,MKE,1460,US
0,3,27,2,18,12,PDX,IAH,1825,CO
0,2,28,3,15,10,MSP,FLL,1487,NW
0,3,16,5,17,14,SEA,LAX,954,AS
45,1,2,2,21,19,EWR,DTW,487,NW
0,8,22,3,9,7,MEM,ATL,332,DL
0,11,20,2,20,18,RIC,ATL,481,FL
15,10,9,2,23,22,SFO,EUG,451,OO
0,10,16,2,17,15,GPT,ATL,352,EV
0,6,19,2,9,7,IAD,SLC,1827,DL
75,6,3,7,17,17,DTW,BNA,457,WN
0,10,9,2,18,15,MSP,CMH,627,NW
135,8,19,7,23,20,PHL,TPA,920,WN
0,8,4,6,16,15,DFW,TYR,103,MQ
0,5,17,4,9,6,EUG,SLC,619,OO
