delayed,month,day,weekday,arr_hour,dep_hour,origin,dest,distance,carrier
1,3,27,2,14,12,LAS,PHX,256,US
1,8,18,6,19,17,PHL,MSP,980,NW
0,3,14,3,21,20,BOS,PHL,280,US
1,8,9,4,12,11,BOS,LGA,185,DL
1,11,25,7,22,21,ATL,IAH,689,DL
0,8,7,2,16,14,LAX,PHX,370,WN
0,9,30,7,20,19,ATL,SAN,1891,DL
1,11,12,1,19,17,EWR,ORD,719,UA
0,12,9,7,8,6,DTW,ATL,594,FL
1,10,6,6,17,16,SAN,LAS,258,WN
1,3,27,2,18,11,LAS,CLT,1916,US
1,1,2,2,21,19,EWR,DTW,487,NW
0,12,22,6,13,10,MCO,BOS,1121,B6
1,2,12,1,21,13,SFO,BOS,2704,AA
1,9,5,3,19,13,SAN,ORD,1723,UA
1,12,5,3,12,10,BWI,CVG,430,OH
1,8,10,5,22,16,LAX,IAH,1379,CO
0,9,16,7,8,6,IAD,ATL,533,FL
0,11,8,4,8,7,BOS,PHL,280,US
1,4,16,1,14,11,ORD,SEA,1721,UA
0,8,26,7,13,11,ATL,MSP,906,EV
0,5,24,4,16,12,IAH,DTW,1076,NW
1,10,7,7,16,10,LAX,ORD,1745,AA
1,12,26,3,20,17,DFW,ATL,732,DL
0,12,27,4,13,11,ATL,PHL,665,DL
1,12,2,7,9,7,SEA,LAX,954,XE
1,8,14,2,11,8,ORD,LGA,733,UA
1,4,11,3,20,19,DTW,MSP,528,NW
1,7,29,7,16,14,PHL,ORD,678,AA
1,12,14,5,14,13,PHX,SLC,507,WN
1,6,7,4,19,14,DFW,LGA,1389,AA
0,10,26,5,18,16,SFO,SEA,679,UA
0,1,31,3,19,17,LGA,DEN,1619,F9
0,4,14,6,16,14,MCO,JFK,944,B6
0,12,11,2,15,13,DCA,JFK,213,OH
1,8,15,3,8,6,BOS,ORD,867,AA
0,1,18,4,12,9,DCA,DFW,1192,AA
1,9,20,4,16,15,DCA,BOS,399,US
0,10,15,1,13,12,MSP,DEN,680,NW
0,12,8,6,0,21,DFW,DCA,1192,AA
1,12,31,1,16,13,ORD,LGA,733,AA
0,2,20,2,18,16,DTW,SLC,1481,OO
0,6,11,1,17,16,SLC,LAX,590,OO
0,10,29,1,20,13,SEA,ATL,2182,DL
0,10,1,1,9,6,SEA,SLC,689,DL
1,12,22,6,20,18,ATL,ORD,606,UA
0,12,2,7,17,14,DTW,IAH,1076,CO
0,5,20,7,23,15,SFO,BWI,2457,UA
0,9,21,5,18,16,BOS,BWI,370,OH
0,6,29,5,8,6,DTW,LGA,501,NW
1,6,18,1,16,13,MCO,DTW,957,NW
0,9,6,4,18,10,LAX,MCO,2217,UA
1,6,13,3,8,0,LAX,ATL,1946,DL
0,9,8,6,16,14,ORD,LAS,1515,UA
0,10,25,4,10,8,MCO,PHL,861,FL
0,2,1,4,21,17,EWR,PHX,2133,US
0,5,27,7,14,12,CLT,ATL,227,DL
0,10,22,1,20,18,LGA,MSP,1020,AA
1,8,31,5,18,16,ATL,SLC,1589,DL
1,10,13,6,9,6,JFK,MCO,944,B6
1,7,28,6,21,19,MCO,CVG,756,OH
1,3,31,6,10,9,JFK,BOS,187,B6
1,12,5,3,18,15,DFW,CVG,812,OH
1,2,16,5,18,17,DTW,CVG,229,9E
