doc_id,class,class_name,text
doc00001,2,George W. Bush,"This spring I will form a Presidential commission to reform Social Security. The commission will make its recommendations by next fall. Reform should be based on these principles: It must preserve the benefits of all current retirees and those nearing retirement; it must return Social Security to sound financial footing; and it must offer personal savings accounts to younger workers who want them. Social Security now offers workers a return of less than 2 percent on the money they pay into the system. To save the system, we must increase that by allowing younger workers to make safe, sound investments that yield a higher rate of return."
doc00002,1,Barack Obama,"As Robert Kennedy told us: ""The future is not a gift. It is an achievement."" Sustaining the American Dream has never been about standing pat. It has required each generation to sacrifice and struggle and meet the demands of a new age. And now it's our turn."
doc00003,2,George W. Bush,"This is a regime that has already used poison gas to murder thousands of its own citizens, leaving the bodies of mothers huddled over their dead children. This is a regime that agreed to international inspections, then kicked out the inspectors. This is a regime that has something to hide from the civilized world. States like these and their terrorist allies constitute an axis of evil, arming to threaten the peace of the world. By seeking weapons of mass destruction, these regimes pose a grave and growing danger."
doc00004,3,William J. Clinton,"If we don't act, our economy will probably keep doing what it's been doing since about 1978, when the income growth began to go to those at the very top of our economic scale and the people in the vast middle got very little growth, and people who worked like crazy but were on the bottom then fell even further and further behind in the years afterward, no matter how hard they worked. We've got to have a Government that can be a real partner in making this new economy work for all of our people, a Government that helps each and every one of us to get an education and to have the opportunity to renew our skills. That's why we worked so hard to increase educational opportunities in the last 2 years, from Head Start to public schools, to apprenticeships for young people who don't go to college, to making college loans more available and more affordable. That's the first thing we have to do. We've got to do something to empower people to improve their skills."
doc00005,3,William J. Clinton,"And I challenge the Congress to finish the job. Let us stick with a strategy that's working and keep the crime rate coming down. Community policing also requires bonds of trust between citizens and police. I ask all Americans to respect and support our law enforcement officers. And to our police, I say, our children need you as role models and heroes."
doc00006,1,Barack Obama,"In fact--not a dime--in fact, the recovery plan provides a tax cut--that's right, a tax cut--for 95 percent of working families. And by the way, these checks are on the way. Now, to preserve our long-term fiscal health, we must also address the growing costs in Medicare and Social Security. Comprehensive health care reform is the best way to strengthen Medicare for years to come. And we must also begin a conversation on how to do the same for Social Security, while creating tax-free universal savings accounts for all Americans."
doc00007,3,William J. Clinton,"Two and a half million Americans, two and a half million Americans, often women with children, are working out there today for $4.25 an hour. In terms of real buying power, by next year that minimum wage will be at a 40-year low. That's not my idea of how the new economy ought to work. Now, I've studied the arguments and the evidence for and against a minimum wage increase. I believe the weight of the evidence is that a modest increase does not cost jobs and may even lure people back into the job market."
doc00008,1,Barack Obama,"And I intend to hold these banks fully accountable for the assistance they receive, and this time, they will have to clearly demonstrate how taxpayer dollars result in more lending for the American taxpayer. This time, CEOs won't be able to use taxpayer money to pad their paychecks or buy fancy drapes or disappear on a private jet. Those days are over. Still, this plan will require significant resources from the Federal Government--and, yes, probably more than we've already set aside. But while the cost of action will be great, I can assure you that the cost of inaction will be far greater, for it could result in an economy that sputters along for not months or years, but perhaps a decade."
doc00009,1,Barack Obama,"The greatest nation on Earth cannot keep conducting its business by drifting from one manufactured crisis to the next. We can't do it. Let's agree right here, right now to keep the people's Government open and pay our bills on time and always uphold the full faith and credit of the United States of America. The American people have worked too hard, for too long, rebuilding from one crisis to see their elected officials cause another. Now, most of us agree that a plan to reduce the deficit must be part of our agenda."
doc00010,3,William J. Clinton,"But I believe this plan does; it tackles the budget deficit seriously and over the long term. It puts in place one of the biggest deficit reductions and one of the biggest changes in Federal priorities, from consumption to investment, in the history of this country at the same time over the next 4 years. Let me say to all the people watching us tonight who will ask me these questions beginning tomorrow as I go around the country and who've asked it in the past: We're not cutting the deficit just because experts say it's the thing to do or because it has some intrinsic merit. We have to cut the deficit because the more we spend paying off the debt, the less tax dollars we have to invest in jobs and education and the future of this country. And the more money we take out of the pool of available savings, the harder it is for people in the private sector to borrow money at affordable interest rates for a college loan for their children, for a home mortgage, or to start a new business."
